0.2345,0.5392,0.2697,0.3651,0.8969,0.3975,0.5690,0.0829,0.8420
0.2345,0.5392,0.2697,0.3651,0.8996,0.3939,0.5568,0.0818,0.8388
0.2345,0.5392,0.2697,0.3651,0.8818,0.4006,0.5789,0.1007,0.8466
0.2621,0.4510,0.3146,0.3333,0.8044,0.4441,0.4680,0.2104,0.8793
0.4069,0.2647,0.4157,0.3333,0.5069,0.5911,0.5940,0.5023,0.9217
0.5310,0.1373,0.5056,0.3333,0.4181,0.6454,0.5127,0.5484,0.9271
0.6759,0.0588,0.6180,0.3333,0.2885,0.7458,0.3455,0.7025,0.9260
0.7931,0.0588,0.7079,0.3333,0.1576,0.7604,0.4134,0.7317,0.8980
0.8759,0.0588,0.7978,0.4286,0.0769,0.7061,0.3542,0.7935,0.8905
0.9586,0.0980,0.8427,0.5317,0.0651,0.5759,0.2280,0.8207,0.8229
0.5310,0.7157,0.5618,0.4524,0.9987,0.0223,0.6051,0.0000,0.1863
0.1448,0.5098,0.1461,0.1508,0.9363,0.6421,0.4652,0.0824,0.9075
0.3172,0.3137,0.2360,0.2143,0.7163,0.7008,0.6098,0.3321,0.9341
0.3724,0.2353,0.3258,0.4048,0.6048,0.7471,0.6115,0.4984,0.8812
0.4828,0.1471,0.4157,0.6111,0.4850,0.7684,0.5503,0.6247,0.7241
0.5310,0.1078,0.5056,0.7222,0.3558,0.8126,0.5121,0.7095,0.6031
0.5931,0.0686,0.7640,0.7540,0.2779,0.7359,0.2729,0.7823,0.5651
0.7931,0.0686,0.8652,0.7857,0.1690,0.6667,0.1711,0.8742,0.5946
0.8828,0.0686,0.9101,0.8175,0.1372,0.5395,0.0877,0.9399,0.6038
0.8828,0.1863,0.8652,0.8492,0.2271,0.3210,0.1124,0.8440,0.5297
0.1517,1.0000,0.7191,0.8810,1.0000,0.1081,0.7942,0.4070,0.0288
0.1448,0.4314,0.3146,0.3175,0.8568,0.6368,0.6038,0.2899,0.8777
0.3379,0.2353,0.4045,0.5079,0.6916,0.6832,0.5444,0.5220,0.8309
0.4276,0.1569,0.4494,0.5714,0.5446,0.7559,0.5527,0.6140,0.7842
0.4828,0.0784,0.4944,0.7540,0.4313,0.7963,0.5165,0.6629,0.6008
0.5034,0.0784,0.6180,0.8492,0.3879,0.7561,0.3586,0.7470,0.4988
0.5586,0.0784,0.9213,0.8810,0.3628,0.5573,0.0910,0.8880,0.4951
0.6828,0.1176,0.9213,0.8810,0.3036,0.4391,0.0636,0.8936,0.5047
0.6000,0.2451,0.9213,0.8810,0.4629,0.1519,0.1030,0.7584,0.4851
0.0828,0.8137,0.8764,0.8810,0.9617,0.0454,0.6587,0.5148,0.0000
0.1103,0.9314,0.7416,0.8095,0.9895,0.3370,0.8101,0.4158,0.0908
0.1379,0.4118,0.2809,0.2063,0.9047,0.7248,0.5303,0.1879,0.8541
0.4000,0.1863,0.2360,0.1746,0.6685,0.8233,0.7205,0.2909,0.9526
0.5034,0.1078,0.2360,0.3333,0.5703,0.8070,0.5993,0.5291,0.8908
0.5931,0.0686,0.3258,0.5635,0.4650,0.8247,0.5821,0.6210,0.7637
0.6828,0.1078,0.3258,0.6349,0.4311,0.6940,0.5293,0.6540,0.7316
0.7379,0.2255,0.3258,0.7540,0.4287,0.5148,0.4975,0.6540,0.6660
